World Ranking;Germany Ranking;University Name;Course Type;City;Course Name;Course Germany Ranking;Teaching language;Tution Fee (Per semester);Beginning Semester;Duration;Go to course website;Submit application to
360;31;"<a href="https://howtoabroad.com/saarland-university/" title="Saarland University  " target="_blank" >Saarland University  </a>";PhD / Doctorate;;International PhD Programme: Science and Health in Football;8 (For Sports / Exercise science);English;;Any time;6 semesters;"<a href="http://sportmedizin-saarbruecken.de/de/node/93" title="International PhD Programme: Science and Health in Footbal" target="_blank" >Go to course website</a>";"<a href="http://sportmedizin-saarbruecken.de/de/node/107" title="Submit application" target="_blank" >Submit application</a>"
297;24;"<a href="https://howtoabroad.com/friedrich-schiller-university-of-jena/" title="Friedrich Schiller University Jena" target="_blank" >Friedrich Schiller University Jena</a>";PhD / Doctorate;Jena;Integrated Research Training Group AquaDiva (iRTG AquaDiva);;English;;Other;8 semesters;"<a href="http://www.aquadiva.uni-jena.de/Graduate_School.html" title="Integrated Research Training Group AquaDiva (iRTG AquaDiva)" target="_blank" >Go to course website</a>";"<a href="http://www.aquadiva.uni-jena.de/GRADUATE+SCHOOL/Open+positions-p-213.html" title="Submit application" target="_blank" >Submit application</a>"
