S.no;World_Ranking;German_Ranking;University_Name;HTA_Uni_Link;Course Type;Course_Type;City;Course_Name;Course_Ranking;Teaching_Language;Language_Requirement;Admission_IELTS_TOFEL;Required_German_Grade;GRE;Tuition_Fee;Tuition Fee Per;Semester_Start;Application_Deadline_Winter;Application_Deadline_Summer;Duration;Course_Link;Application_Link;Logo;Responsible Person;_Daad SIte;Updated;State;Comment;Tags_Alternate;Uni_Type
1190;390;34;University of Duisburg-Essen;https://howtoabroad.com/university-of-duisburg-essen/;Master;Master;Duisburg;Management and Technology of Water and Waste Water;26 (For Management);English, German;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.uni-due.de/studienangebote/studiengang.php?id=190;https://campus.uni-due.de/app_aaa/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/University-of-Duisburg-Essen.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6253/;11-Jun;North Rhine-Westphalia;;;
1191;2450;93;Berlin School of Economics and Law;https://howtoabroad.com/hochschule-fur-wirtschaft-und-recht-berlin/;Master;Master;Berlin;Marketing Management (German/English);;English, German;;;;;None;;Winter;15-May;;3 semesters;https://www.hwr-berlin.de/studium/studiengaenge/detail/27-marketing-management/;https://www.hwr-berlin.de/studium/studiengaenge/bewerbungsdetail/27-marketing-management/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2022/03/Hochschule-fur-Wirtschaft-und-Recht-Berlin.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4733/;11-Jun;Brandenburg;;;
1192;399;35;Leibniz University Hannover;https://howtoabroad.com/leibniz-university-hannover/;Master;Master;Hanover;Master Atlantic Studies in History, Culture and Society;NA;English, German;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.uni-hannover.de/en/studium/studienangebot/info/studiengang/detail/atlantic-studies-in-history-culture-and-society/;https://www.uni-hannover.de/en/studium/vor-dem-studium/bewerbung-und-zulassung/studienplatzbewerbung/master-application-for-prospective-students-from-germany-and-eu-countries/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/luh.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4780/;11-Jun;Lower Saxony;;;
1193;229;21;Julius-Maximilians-University Wurzburg;https://howtoabroad.com/university-of-wurzburg/;Master;Master;Würzburg;Master Biosciences / Master Biowissenschaften;7 (For Biology);English, German;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://www.biologie.uni-wuerzburg.de/en/biostudium/master/;https://www.biologie.uni-wuerzburg.de/masterbiosciences/application/application-with-non-european-bachelor/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/Julius-Maximilian-University-of-Wurzburg.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4641/;11-Jun;Bavaria;;;
1194;1262;67;University of Bamberg;https://howtoabroad.com/university-of-bamberg/;Master;Master;Bamberg;Master in European Economic Studies (MSc in EES);;English, German;;;;;None;;Winter, Summer;04-Jul;;4 semesters;https://www.uni-bamberg.de/ees/double-degrees/ma/;https://www.uni-bamberg.de/studium/interesse/bewerben/bewerbung-fuer-einen-masterstudiengang/master-bewerbung/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/university-of-bamberg.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3636/;11-Jun;Bavaria;;;
1195;359;29;Justus Liebig University Giessen;https://howtoabroad.com/justus-liebig-university-giessen/;Master;Master;Giessen;Master in German Law (LLM);24 (For Law);English, German;;;;;None;;Winter, Summer;15-Jul;15-Jan;2 semesters;https://www.uni-giessen.de/studium/bewerbung/ergaenzung_aufbau/magisterlegum;https://my.uni-assist.de/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/Justus-Liebig-University-Giessen-1.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3944/;11-Jun;Hesse;;;
1196;3489;133;Mainz University of Applied Sciences;https://howtoabroad.com/mainz-university-of-applied-sciences/;Master;Master;Mainz;Master in International Business (Argentinian-German) | Maestría Argentino-Alemana Negocios Internacionales;;English, Spanish;;;;;None;;Winter;20-Aug;;5 semesters;https://www.hs-mainz.de/en/academics/degree-programs/business/maestria-argentino-alemana-ma/overview/;https://www.hs-mainz.de/en/academics/degree-programs/business/maestria-argentino-alemana-ma/how-to-apply/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/12/Mainz-University-of-Applied-Sciences.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4515/;11-Jun;Rhineland-Palatinate;;;
1197;73;2;University Heidelberg;https://howtoabroad.com/heidelberg-university/;Master;Master;Heidelberg;Master in International Law (LLM);11 (For Law);English, Spanish;TOEFL-79/80 points;NO;;NA;€ 5000,0;Semester;Summer;;14-Jan;2 semesters;https://www.uni-heidelberg.de/en/study/all-subjects/international-law;https://www.heidelbergcenter.cl/site/sp/?idcat=Requisitos%20y%20Postulaciones&idtypep=17;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/14595747_1222296637809037_8045920159707819886_n.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4295/;11-Jun;Baden-Wurttemberg;;;
1198;131;6;University of Hamburg;https://howtoabroad.com/the-university-of-hamburg/;Master;Master;Hamburg;Master in Social & Cultural Anthropology;8 (For Anthropology), 4 (For Social Work);English, German;;;;;None;;Winter;15-Jul;;4 semesters;https://www.uni-hamburg.de/en/campuscenter/studienangebot/studiengang.html?1272923172;https://www.stine.uni-hamburg.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=EXTERNALPAGES&ARGUMENTS=-N000000000000002,-N000034,-Awelcome;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/university-hamburg.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4577/;11-Jun;Hamburg State;;;
1199;536;43;University of Bayreuth;https://howtoabroad.com/university-of-bayreuth/;Master;Master;Bayreuth;Master Language-Interaction-Culture/Sprache-Interaktion-Kultur/Langue-Interaction-Culture;;English, German;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://uni-bayreuth.de/master/sprache-interaktion-kultur;https://www.international-office.uni-bayreuth.de/de/studiengangsseiten/master-NICHT-EU/sprache-interaktion-kultur-ma/index.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/University-Of-Bayreuth.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4179/;11-Jun;Bavaria;;;
