_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,Course Name,Course World Ranking,Teaching language,_language Req.,_Admission without IELTS/TOFEL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine,Duration,Go to course website,Submit application to,_Daad SIte,Updated By,Checked By,Post writing ,Comment
842,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,Natural Hazards and Risks in Structural Engineering (NHRE),,English,,,,,none,Winter,,4 semesters,<a href="http://www.math.uni-goettingen.de/promotion/index_en.html" title="PhD Programme in Mathematical Sciences" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-goettingen.de/en/call+for+applications/admission/473513.html" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3612/,,,Phase 2,
225,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,European Urban Studies (EUS),,English,,,,,none,Winter,,4 semesters,<a href="http://www.mind-and-brain.de/master/" title="Master's in Mind and Brain" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.uni-assist.de/en/how-to-apply/apply-online/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3679/,,,,
312,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,Integrated Urban Development and Design,,English,,,,,varied,Winter,,4 semesters,<a href="http://www.mind-and-brain.de/overview/" title="Berlin School of Mind and Brain (Graduate School)" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.mind-and-brain.de/doctoral-program/application/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3654/,,,,
881,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,Public Art and New Artistic Strategies (MFA),,English,,,,,none,Winter,,4 semesters,<a href="http://www.phd.med.tum.de/" title="PhD Programme in Medical Life Science and Technology" target="_blank" rel="noopener">Go to course website</a>,<a href="http://www.phd.med.tum.de/index.php?option=com_content&view=article&id=930&Itemid=257" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3794/,,,,
1235,1295,68,Bauhaus-University Weimar,<a href="https://howtoabroad.com/bauhaus-university-weimar/" title="Bauhaus-Universität Weimar" target="_blank" >Bauhaus-Universität Weimar</a>,Master's degree,MediaArchitecture,,German&English,,,,,none,Winter,,4 semesters,<a href="https://americanstudies.uni-leipzig.de/curriculum/degree_programs/ma" title="Master of Arts in American Studies" target="_blank" rel="noopener">Go to course website</a>,<a href="https://americanstudies.uni-leipzig.de/curriculum/applying_and_admissions/ma_application/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3655/,,,,
528,2592,98,Beuth University of Applied Sciences Berlin,<a href="https://howtoabroad.com/beuth-university-of-applied-sciences/" title="Beuth University of Applied Sciences Berlin" target="_blank" >Beuth University of Applied Sciences Berlin</a>,Master's degree,Master of Business Administration (MBA) Renewables,,English,,,,,"3.200,00",Winter,,5 semesters,<a href="https://amis-master.eitrawmaterials.eu/study/#overview" title="AMIS Master - International Master in Advanced Materials for Innovation & Sustainability" target="_blank" rel="noopener">Go to course website</a>,<a href="https://amis-master.eitrawmaterials.eu/study/#apply" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4296/,,,,
1208,5920,226,Biberach University of Applied Sciences,<a href="https://howtoabroad.com/biberach-university-of-applied-sciences/" title="Biberach University of Applied Sciences" target="_blank" >Biberach University of Applied Sciences</a>,Master's degree,Master of Engineering Management (MEM),,German&English,,,,,none,Winter& Summer,,3 semesters,<a href="https://anc.eit.uni-kl.de/en/" title="Automation and Control (A&C)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.eit.uni-kl.de/en/studies/master-in-english/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6115/,,,,
38,433,37,Bielefeld University,<a href="https://howtoabroad.com/bielefeld-university/" title="Bielefeld University" target="_blank" >Bielefeld University</a>",Master's degree,Behaviour: From Neural Mechanisms to Evolution& MSc,,English,,,,,none,Winter,,4 semesters,<a href="https://arch.rwth-aachen.de/cms/Architektur/Studium/Studiengaenge/~ffuge/M-Sc-Construction-and-Robotics/lidx/1/" title="Construction & Robotics" target="_blank" rel="noopener">Go to course website</a>,<a href="https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3958/,,,,
262,433,37,Bielefeld University,<a href="https://howtoabroad.com/bielefeld-university/" title="Bielefeld University" target="_blank" >Bielefeld University</a>",Master's degree,German as a Foreign Language and German Linguistics and Literature,,German,,,,,none,Winter& Summer,,4 semesters,<a href="https://berlinschoolofeconomics.de/phd-programm" title="Berlin School of Economics PhD Programme (BSE PhD Programme)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://berlinschoolofeconomics.de/phd-programm/application" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4270/,,,,
316,433,37,Bielefeld University,<a href="https://howtoabroad.com/bielefeld-university/" title="Bielefeld University" target="_blank" >Bielefeld University</a>",Master's degree,Intelligent Systems,,English,,,,,none,Winter,,4 semesters,<a href="https://bib.htw-berlin.de/" title="Bachelor International Business (BIB)" target="_blank" rel="noopener">Go to course website</a>,<a href="https://www.htw-berlin.de/en/studies/applications/" title="Submit application" target="_blank" rel="noopener">Submit application</a>,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4317/,,,,
